word,attributes
Shoddy,Quality
Pleasant,Quality
Nice,Quality
Flawless,Quality
Broken,Quality
Derelict,Quality
Fragile,Quality
Strong,Quality
Shiny,Quality
Jarred,Quality
Pickled,Quality
Rotten,Quality
Fresh,Quality
New,Quality
Thrown,Quality
Dead,Quality
Loved,Quality
Dreaded,Quality
Feared,Quality
Welcomed,Quality
Signed,Quality
Forked,Quality
Spooned,Quality
Knifed,Quality
Silent,Quality
Cracked,Quality
Irked,Quality
Found,Quality
Hairy,Quality
Lost,Quality
Large,Size
Small,Size
Tiny,Size
Gargantuan,Size
Colussal,Size
Diminitive,Size
Minuscule,Size
Big,Size
Bigger,Size
Biggest,Size
Smaller,Size
Smallest,Size
Jumbo,Size
Fat,Size
Thin,Size
Fatter,Size
Fattest,Size
Thinner,Size
Thinnest,Size
Young,Age
Old,Age
Baby,Age
Aged,Age
Ancient,Age
Teenage,Age
Juvenille,Age
Sophmoric,Age
Younger,Age
Youngest,Age
Older,Age
Oldest,Age
Elder,Age
Eldest,Age
Oblong,Shape
Acute,Shape
Obtuse,Shape
Angular,Shape
Jagged,Shape
Pointy,Shape
Spiny,Shape
Blocky,Shape
Triangular,Shape
Squarish,Shape
Rectangular,Shape
Regular,Shape
Irregular,Shape
Fringed,Shape
Round,Shape
Red,Color
Blue,Color
Green,Color
Purple,Color
Orange,Color
Yello,Color
Cyan,Color
Aquamarine,Color
Rouge,Color
Crimson,Color
Black,Color
White,Color
Grey,Color
Maroon,Color
Chartruese,Color
Shadowed,Color
Lightened,Color
Burnt,Color
Dodged,Color
Pale,Color
Luminescent,Color
Bright,Color
Dark,Color
Wooden,Material
Steel,Material
Metallic,Material
Stone,Material
Marble,Material
Copper,Material
Iron,Material
Glass,Material
Crystal,Material
Mithral,Material
Adamantium,Material
Sheep Skin,Material
Dragon Skin,Material
Fleshy,Material
Sandy,Material
Oak,Material
Rowan,Material
Bronze,Material
Cement,Material
Plastic,Material
Rubber,Material
Latex,Material
Paper,Material
Fighting,Purpose
Kicking,Purpose
Boxing,Purpose
Humping,Purpose
Loving,Purpose
Hating,Purpose
Dripping,Purpose
Sipping,Purpose
Tipping,Purpose
Ripping,Purpose
Whipping,Purpose
Nipping,Purpose
Licking,Purpose
Stinking,Purpose
Sleeping,Purpose
Mapping,Purpose
Adding,Purpose
Multiplying,Purpose
Singing,Purpose
Lifting,Purpose
Howling,Purpose
Groping,Purpose
Gripping,Purpose
Running,Purpose
Gunning,Purpose
Killing,Purpose
Sinking,Purpose
Exploring,Purpose
Adventuring,Purpose
Ghosting,Purpose