word,theme
Fox,Animal
Wolf,Animal
Dog,Animal
Elephant,Animal
Hawk,Animal
Eagle,Animal
Vulture,Animal
Crow,Animal
Dingo,Animal
Jackal,Animal
Kestrel,Animal
Hyena,Animal
Vixen,Animal
Mule,Animal
Sheep,Animal
Goat,Animal
Pig,Animal
Raptor,Animal
Cat,Animal
Feline,Animal
Goldfish,Animal
Hound,Animal
Trout,Animal
Bass,Animal
Dagger,Weapon
Sword,Weapon
Axe,Weapon
Bardiache,Weapon
Glaive,Weapon
Bow,Weapon
Arrow,Weapon
Rapier,Weapon
Sabre,Weapon
Broadsword,Weapon
Bastardsword,Weapon
Spear,Weapon
Guisarme,Weapon
Katana,Weapon
Bill,Weapon
Spetum,Weapon
Scythe,Weapon
Naginta,Weapon
Halberd,Weapon
Sling,Weapon
Kukri,Weapon
Knife,Weapon
Shield,Weapon
Colt .45,Weapon
Six-Shooter,Weapon
Rifle,Weapon
Cannon,Weapon
Artillery,Weapon
Tank,Weapon
Chariot,Weapon
Gun,Weapon
Wrench,Tool
Hammer,Tool
Screwdriver,Tool
Jackhammer,Tool
Saw,Tool
Scalpel,Tool
Pen,Tool
Pencil,Tool
Ruler,Tool
King,Profession and Job
Lawyer,Profession and Job
Noble,Profession and Job
Lady,Profession and Job
Lord,Profession and Job
Fireman,Profession and Job
Policeman,Profession and Job
Stripper,Profession and Job
Hooker,Profession and Job
Gigalo,Profession and Job
Emperor,Profession and Job
Officer,Profession and Job
Soldier,Profession and Job
Sailor,Profession and Job
Fighter,Profession and Job
Boxer,Profession and Job
Secretary,Profession and Job
Teacher,Profession and Job
Ninja,Profession and Job
Racer,Profession and Job
Grifter,Profession and Job
Drifter,Profession and Job
Writer,Profession and Job
Author,Profession and Job
Singer,Profession and Job
Pilot,Profession and Job
Agent,Profession and Job
Technician,Profession and Job
Tanner,Profession and Job
Fletcher,Profession and Job
Blacksmith,Profession and Job
Jockey,Profession and Job
Whiskey,Drink and Cocktail
Tequila,Drink and Cocktail
Vodka,Drink and Cocktail
Ale,Drink and Cocktail
Mead,Drink and Cocktail
Martini,Drink and Cocktail
Wine,Drink and Cocktail
Manhatten,Drink and Cocktail
Old Fashion,Drink and Cocktail
Campari,Drink and Cocktail
Cape Codder,Drink and Cocktail
Liquor,Drink and Cocktail
Aviator,Drink and Cocktail
Corpse Reviver # 2,Drink and Cocktail
Car,Vehicle
Motorcycle,Vehicle
Bicycle,Vehicle
Bull Dozer,Vehicle
Horse,Vehicle
Train,Vehicle
Locomotive,Vehicle
Monorail,Vehicle
Nascar,Vehicle
Subway,Vehicle
Parachute,Vehicle
Plane,Vehicle
Jet,Vehicle
Mustang,Vehicle
Cadillac,Vehicle
Camaro,Vehicle
Minotaur,Mythology
Thunderbird,Mythology
Griffon,Mythology
Orc,Mythology
Goblin,Mythology
Gnome,Mythology
Elf,Mythology
Drow,Mythology
Oni,Mythology
Ghost,Mythology
Spirit,Mythology
Banshee,Mythology
Beholder,Mythology
Bezerker,Mythology
Knight,Mythology
Samurai,Mythology
Monster,Mythology
Phoenix,Mythology
Kitsune,Mythology
Devil,Mythology
Angel,Mythology
Demon,Mythology
Gnoll,Mythology
Halfling,Mythology
Nightmare,Mythology
Genie,Mythology
Kelpie,Mythology
Kappa,Mythology